hotspot_id,latitude,longitude,mean_frp,max_frp,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,night_ratio,high_confidence_ratio,last_seen_date,days_since_last_seen,hits_7d,active_days_7d,hits_10d,active_days_10d,hits_15d,active_days_15d,hits_30d,active_days_30d,persistence_30d,distance_to_nearest_road_m,road_length_1km_m,building_count_1km,distance_to_nearest_building_m,building_count_500m,building_count_2500m,building_count_5000m,road_length_500m_m,road_length_2500m_m,road_length_5000m_m,industrial_area_count_500m,industrial_area_count_5000m,nearest_fire_station_id,nearest_fire_station_name,nearest_fire_station_latitude,nearest_fire_station_longitude,distance_to_nearest_fire_station_m,fire_station_data_available
883c8530b3fffff,22.22315,84.75199,1.64,1.64,304.23,304.23,289.6,289.6,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,173.82816888986,0.0,0.0,1991.94636775845,0.0,1.0,9.0,2427.95455098797,41991.559294743,130037.696305962,2.0,6.0,,,,,,False
883c853327fffff,22.20396,84.59077,1.54,1.54,300.31,300.31,286.72,286.72,1.0,0.0,2026-08-09,22,0,0,0,0,0,0,1,1,0.0333333333333333,60.1560887844944,0.0,15.0,380.25807661396,1.0,52.0,56.0,1479.75699723287,38006.5597201811,65873.313667262,1.0,5.0,,,,,,False
883c853561fffff,22.22572,84.76047,1.67,1.67,304.83,304.83,289.07,289.07,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,234.800740326914,0.0,0.0,2013.37114110804,0.0,2.0,9.0,1006.02217678405,52365.1299206786,170468.031887402,2.0,6.0,,,,,,False
883c853565fffff,22.2206533333333,84.7559666666667,1.54,1.92,304.446666666667,306.45,287.54,289.6,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,73.8923352420483,0.0,0.0,2409.59295516793,0.0,1.0,9.0,1953.48385304303,42552.7829111983,133664.912957605,2.0,6.0,,,,,,False
883c85356dfffff,22.22622,84.75452,1.06,1.06,302.13,302.13,282.92,282.92,1.0,0.0,2026-07-26,36,0,0,0,0,0,0,0,0,0.0,26.1956121450833,0.0,0.0,2287.16693581028,0.0,1.0,9.0,2199.5018196083,45315.0533156691,141738.098429773,2.0,6.0,,,,,,False
883c8535a1fffff,22.2133966666667,84.8422733333333,1.93333333333333,3.38,313.646666666667,330.93,285.033333333333,291.89,0.666666666666667,0.0,2026-08-26,5,1,1,1,1,1,1,2,2,0.0666666666666667,135.491119355218,0.0,50.0,214.696505785491,13.0,774.0,1256.0,3515.12910808328,141289.323727247,576746.36318329,1.0,7.0,,,,,,False
883c8535a5fffff,22.2106,84.84077,1.42,1.42,307.46,307.46,289.48,289.48,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,25.0026310401142,0.0,40.0,376.70462553419,10.0,666.0,1131.0,5218.27618684004,121371.757678596,535993.182003234,1.0,7.0,,,,,,False
883c8535a7fffff,22.20491,84.85063,1.755,1.88,306.55,306.86,280.415,289.29,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,84.5877824127098,0.0,124.0,15.0864487202885,51.0,457.0,1111.0,3856.34553421169,130726.826782524,476612.805976823,1.0,7.0,,,,,,False
883c8535adfffff,22.21333,84.83915,2.79,2.79,330.66,330.66,291.48,291.48,0.0,0.0,2026-08-26,5,1,1,1,1,1,1,1,1,0.0333333333333333,24.3469188813433,0.0,30.0,533.616173653819,0.0,725.0,1205.0,2766.67747467341,139157.739915858,569021.989553188,1.0,7.0,,,,,,False
883c8535b5fffff,22.2112575,84.8631225,2.345,3.63,311.965,331.67,284.85,293.69,0.75,0.0,2026-08-26,5,1,1,1,1,1,1,3,3,0.1,202.628668137763,0.0,268.0,1.30999281210009,106.0,618.0,1254.0,1241.39014210579,122277.456042591,541427.086873924,1.0,6.0,,,,,,False
883c8535b7fffff,22.2144266666667,84.8701566666667,3.10666666666667,5.23,319.086666666667,334.29,282.516666666667,293.07,0.666666666666667,0.0,2026-08-26,5,1,1,1,1,1,1,2,2,0.0666666666666667,400.227536445119,0.0,181.0,85.126258438246,59.0,630.0,1430.0,837.337130636156,109403.894435367,564148.64717058,1.0,6.0,,,,,,False
883c854125fffff,21.68232,84.04218,1.49,1.49,305.16,305.16,287.68,287.68,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,0.173000433998188,0.0,6.0,144.623691199697,5.0,10.0,25.0,5651.22315727634,69397.9210029218,248703.221499772,1.0,4.0,,,,,,False
883c854301fffff,21.7661575,84.02148,3.065,6.79,312.3925,338.6,290.7325,292.85,0.75,0.0,2026-08-20,11,0,0,0,0,2,1,3,2,0.0666666666666667,11.2392745566695,0.0,1.0,699.50588096303,0.0,24.0,207.0,6564.20934156526,93518.8851708758,270719.319036652,2.0,8.0,,,,,,False
883c854305fffff,21.75801,84.022515,2.89,2.91,308.615,311.01,285.85,286.98,1.0,0.0,2026-08-20,11,0,0,0,0,1,1,2,2,0.0666666666666667,13.4659336287047,0.0,9.0,200.647144667547,3.0,24.0,137.0,5081.36112463534,101201.194537691,300150.349791519,1.0,10.0,,,,,,False
883c85430dfffff,21.76609,84.017895,2.98,3.9,308.085,309.28,289.265,289.27,1.0,0.0,2026-07-29,33,0,0,0,0,0,0,0,0,0.0,11.3433133382332,0.0,3.0,558.789422422345,0.0,23.0,189.0,11184.9441198802,87711.8736277459,260130.779372659,2.0,8.0,,,,,,False
883c85432bfffff,21.75551,84.02298,2.89,2.89,307.28,307.28,285.65,285.65,1.0,0.0,2026-08-20,11,0,0,0,0,1,1,1,1,0.0333333333333333,24.3786130867549,0.0,10.0,160.775751123874,4.0,31.0,111.0,4841.75386633591,99419.082702678,306486.133696961,1.0,10.0,,,,,,False
883c854a11fffff,21.67357,84.040765,3.89,4.73,330.345,330.91,294.74,295.02,0.0,0.0,2026-08-26,5,1,1,1,1,1,1,2,2,0.0666666666666667,15.9033830680482,0.0,7.0,196.626665552021,2.0,16.0,29.0,3889.48608140524,74136.2336387796,217274.162154647,1.0,4.0,,,,,,False
883c854a19fffff,21.679028,84.039393,3.382,9.21,314.264,337.96,289.776,296.78,0.7,0.0,2026-08-26,5,1,1,1,1,1,1,6,4,0.133333333333333,55.6896570053268,0.0,6.0,213.819315541142,5.0,11.0,28.0,2999.27299527516,73702.6567534538,234411.363958164,1.0,4.0,,,,,,False
883c855007fffff,21.8591,83.96842,1.31,1.31,304.7,304.7,291.23,291.23,1.0,0.0,2026-08-20,11,0,0,0,0,1,1,1,1,0.0333333333333333,220.158414984442,0.0,0.0,3016.43816266287,0.0,0.0,45.0,1735.06374366665,20174.9200160662,90825.2774646778,1.0,4.0,,,,,,False
883c8551a1fffff,21.79336,83.9878,1.61,1.61,305.66,305.66,291.11,291.11,1.0,0.0,2026-08-20,11,0,0,0,0,1,1,1,1,0.0333333333333333,668.664240128869,0.0,2.0,840.83435548794,0.0,2.0,44.0,0.0,18148.4469835688,131814.383488372,1.0,7.0,,,,,,False
883c855b49fffff,21.738255,83.84214,3.225,3.69,314.355,315.17,289.88,290.79,1.0,0.0,2026-08-09,22,0,0,0,0,0,0,1,1,0.0333333333333333,698.183583167331,0.0,2.0,944.619868053938,0.0,2.0,5.0,0.0,22090.8068723669,68973.2182800934,0.0,6.0,,,,,,False
883c85c865fffff,21.95587,83.80977,1.335,1.43,300.04,303.27,282.525,284.09,1.0,0.0,2026-08-20,11,0,0,0,0,1,1,1,1,0.0333333333333333,738.769816078796,0.0,0.0,7568.1566961064,0.0,0.0,0.0,0.0,8904.67875065664,29024.4830837115,0.0,0.0,,,,,,False
883c85c959fffff,21.95513,83.80673,0.66,0.66,304.14,304.14,282.58,282.58,1.0,0.0,2026-07-31,31,0,0,0,0,0,0,0,0,0.0,528.953291377843,0.0,0.0,7798.0123131569,0.0,0.0,0.0,0.0,13539.3820580716,28901.4600559272,0.0,0.0,,,,,,False
883c85cb05fffff,21.9641766666667,83.7716733333333,1.67666666666667,2.75,305.446666666667,310.43,285.84,290.85,1.0,0.0,2026-08-20,11,0,0,0,0,1,1,3,3,0.1,487.469896676186,0.0,0.0,11451.8515264607,0.0,0.0,0.0,80.9478223052879,25488.1591815871,49178.8594910062,0.0,0.0,,,,,,False
883c85d805fffff,22.06671,83.70587,0.77,0.77,302.74,302.74,286.35,286.35,1.0,0.0,2026-08-09,22,0,0,0,0,0,0,1,1,0.0333333333333333,127.919248609943,0.0,0.0,1490.7951909689,0.0,1.0,1.0,1421.73531338839,6259.84746451421,31496.3937455933,0.0,0.0,,,,,,False
883c85d829fffff,22.06497,83.705945,1.58,1.82,309.89,313.22,289.71,289.78,1.0,0.0,2026-08-20,11,0,0,0,0,1,1,2,2,0.0666666666666667,35.3027328087331,0.0,0.0,1300.44613421894,0.0,1.0,1.0,1570.84720540604,6928.0260463973,32433.6075577105,0.0,0.0,,,,,,False
